iter	Passed	Remaining
144	674	3979
145	677	3961
146	685	3979
147	687	3959
148	690	3941
149	691	3920
150	693	3901
151	701	3912
152	702	3890
153	704	3871
154	707	3859
155	710	3846
156	716	3848
157	723	3857
158	732	3876
159	734	3856
160	737	3843
161	739	3824
162	741	3805
163	750	3826
164	752	3807
165	753	3788
166	756	3772
167	766	3793
168	767	3775
169	769	3756
170	771	3740
171	773	3721
172	782	3742
173	784	3724
174	787	3713
175	789	3695
176	795	3699
177	797	3681
178	799	3669
179	801	3650
180	802	3632
181	804	3613
182	809	3614
183	812	3601
184	813	3583
185	815	3568
186	817	3555
187	819	3538
188	833	3578
189	836	3564
190	844	3578
191	846	3563
192	848	3547
193	850	3532
194	852	3518
195	854	3504
196	856	3491
197	860	3485
198	862	3470
199	863	3454
200	865	3439
201	866	3424
202	868	3409
203	870	3395
204	871	3381
205	877	3382
206	879	3370
207	881	3356
208	883	3342
209	884	3328
210	886	3315
211	889	3304
212	890	3290
213	892	3276
214	903	3299
215	917	3331
216	919	3319
217	921	3306
218	923	3294
219	925	3281
220	927	3267
221	931	3265
222	934	3255
223	936	3242
224	937	3229
225	939	3217
226	941	3204
227	942	3192
228	944	3180
229	946	3169
230	948	3156
231	984	3260
232	987	3251
233	998	3267
234	1001	3259
235	1003	3247
236	1009	3250
237	1013	3243
238	1014	3231
239	1016	3218
240	1018	3207
241	1020	3196
242	1026	3198
243	1029	3189
244	1031	3178
245	1116	3421
246	1126	3435
247	1129	3423
248	1131	3411
249	1141	3423
250	1142	3410
251	1146	3402
252	1148	3390
253	1150	3379
254	1162	3395
255	1167	3394
256	1177	3402
257	1179	3391
258	1181	3378
259	1183	3367
260	1191	3374
261	1342	3782
262	1346	3773
263	1348	3758
264	1353	3755
265	1356	3742
266	1357	3728
267	1359	3713
268	1515	4117
269	1521	4113
270	1651	4443
271	1653	4425
272	1655	4409
273	1657	4391
274	1659	4374
275	1661	4358
276	1663	4340
277	1664	4323
278	1666	4306
279	1668	4289
280	1670	4274
281	1673	4261
282	1675	4244
283	1677	4228
284	1678	4211
285	1680	4194
286	1768	4393
287	1772	4382
288	1778	4375
289	1780	4359
290	1791	4364
291	1794	4350
292	1796	4333
293	1797	4317
294	1799	4301
295	1801	4285
296	1804	4271
297	1806	4256
298	1835	4303
299	1837	4288
300	1853	4303
301	1916	4428
302	1918	4414
303	1921	4400
304	1932	4404
305	1934	4388
306	1937	4374
307	1947	4375
308	1950	4361
309	1952	4345
310	1962	4346
311	1963	4330
312	1966	4317
313	1985	4336
314	1995	4339
315	1997	4323
316	1999	4307
317	2000	4291
318	2007	4284
319	2009	4270
320	2011	4254
321	2014	4242
322	2016	4226
323	2024	4224
324	2027	4210
325	2029	4195
326	2032	4182
327	2045	4190
328	2157	4399
329	2159	4383
330	2162	4371
331	2164	4354
332	2178	4363
333	2180	4348
334	2188	4344
335	2190	4329
336	2204	4336
337	2206	4322
338	2212	4314
339	2223	4316
340	2226	4303
341	2229	4289
342	2234	4279
343	2235	4263
344	2237	4248
345	2247	4248
346	2249	4233
347	2252	4220
348	2261	4219
349	2273	4221
350	2275	4206
351	2277	4191
352	2279	4177
353	2280	4161
354	2282	4147
355	2290	4142
356	2291	4127
357	2294	4113
358	2296	4099
359	2298	4086
360	2306	4083
361	2308	4069
362	2310	4054
363	2313	4041
364	2321	4039
365	2324	4025
366	2326	4013
367	2330	4001
368	2331	3987
369	2334	3974
370	2342	3971
371	2344	3958
372	2347	3945
373	2349	3931
374	2359	3931
375	2360	3917
376	2363	3904
377	2365	3891
378	2375	3892
379	2377	3878
380	2413	3921
381	2423	3921
382	2425	3907
383	2426	3892
384	2428	3879
385	2431	3867
386	2434	3856
387	2437	3845
388	2439	3831
389	2441	3819
390	2455	3825
391	2457	3811
392	2466	3809
393	2468	3796
394	2470	3784
395	2508	3825
396	2511	3815
397	2514	3803
398	2516	3791
399	2519	3778
400	2520	3765
401	2530	3763
402	2532	3751
403	2544	3753
404	2546	3741
405	2550	3731
406	2552	3718
407	2555	3708
408	2621	3787
409	2624	3777
410	2629	3767
411	2633	3757
412	2637	3748
413	2691	3809
414	2693	3796
415	2723	3823
416	2726	3812
417	2733	3806
418	2736	3794
419	2738	3781
420	2740	3769
421	2742	3756
422	2746	3747
423	2748	3734
424	2751	3722
425	2753	3709
426	2755	3697
